,City,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed,Date
76,Örnsköldsvik,69.8,63.29,18.72,56,4,10.29,1594911014
77,Hermanus,66.99,-34.42,19.23,59,69,5.44,1594911014
78,San Quintín,67.24,30.48,-115.95,82,97,10.18,1594911014
79,Cabinda,76.41,-5.55,12.2,74,79,9.91,1594911014
80,Saint-Philippe,66.81,-21.36,55.77,73,75,8.05,1594911014
81,Fortuna,52.86,40.6,-124.16,100,90,4.7,1594911014
82,Kapaa,73.72,22.08,-159.32,78,90,12.75,1594911015
83,Bubaque,78.89,11.28,-15.83,87,100,20.27,1594911015
84,Chui,53.38,-33.7,-53.46,67,68,8.05,1594911015
85,Kondopoga,57.2,62.21,34.26,93,90,8.95,1594911015
86,Tasiilaq,50.0,65.61,-37.64,61,20,8.05,1594911016
87,Saldanha,62.76,-33.01,17.94,53,0,4.72,1594911016
88,Laguna,61.63,38.42,-121.42,82,1,5.82,1594911016
89,Avera,86.0,33.19,-82.53,66,1,4.7,1594911016
90,Mon,73.69,26.75,95.1,95,100,2.73,1594911016
91,Longyearbyen,44.6,78.22,15.64,87,75,3.36,1594911016
92,Lander,66.78,42.83,-108.73,34,1,3.36,1594911017
93,Taft,96.8,31.75,54.21,19,40,2.24,1594911017
94,Río Gallegos,26.6,-51.62,-69.22,92,90,4.7,1594910961
95,Gladstone,50.0,-23.85,151.25,61,0,3.36,1594911017
96,Saint Paul Harbor,51.8,57.79,-152.41,81,1,6.93,1594911017
97,Bluff,39.0,-46.6,168.33,83,42,3.0,1594911018
98,Klaksvík,51.8,62.23,-6.59,100,90,9.17,1594911018
99,Avarua,69.8,-21.21,-159.78,73,28,8.05,1594911018
100,Hobart,39.2,-42.88,147.33,86,40,3.91,1594910773
101,Bengkulu,78.06,-3.8,102.27,87,76,4.61,1594910946
102,New Norfolk,39.06,-42.78,147.06,75,9,4.0,1594911018
103,Narsaq,55.4,60.92,-46.05,58,75,5.82,1594911019
104,Upernavik,44.51,72.79,-56.15,83,100,4.03,1594911019
105,Tuktoyaktuk,50.0,69.45,-133.04,71,75,10.29,1594911019
106,Sayyan,67.71,15.17,44.32,52,82,11.3,1594911020
107,Port Alfred,60.35,-33.59,26.89,41,0,3.58,1594911020
108,Erzin,82.99,36.96,36.2,79,0,8.99,1594911020
109,Hilo,67.08,19.73,-155.09,78,90,4.7,1594911020
110,Ilulissat,46.4,69.22,-51.1,75,75,5.82,1594911021
111,Airai,58.12,-8.93,125.41,100,44,3.02,1594911021
112,Estrela,44.28,-28.06,-50.94,90,100,6.53,1594911021
113,Pisco,59.43,-13.7,-76.22,93,90,3.36,1594911022
114,Ballina,49.15,-28.87,153.57,71,5,8.05,1594911022
115,Cherskiy,40.82,68.75,161.3,82,52,4.81,1594911022
116,‘Ewa Beach,73.62,21.32,-158.01,83,1,3.36,1594911023
117,Mahébourg,71.6,-20.41,57.7,73,40,6.93,1594911023
118,Gorontalo,74.97,0.54,123.06,89,98,0.85,1594911023
119,Snezhnogorsk,68.0,69.19,33.25,49,2,6.71,1594911023
120,Severo-Kuril'sk,49.57,50.68,156.12,91,37,5.06,1594911023
121,Borgarnes,53.98,64.54,-21.92,82,40,12.75,1594911024
122,Delta,74.98,5.5,6.0,89,90,7.16,1594911024
123,Ziarat,75.29,30.38,67.73,35,13,8.57,1594910946
124,Okhotsk,56.19,59.38,143.3,90,99,6.2,1594911025
125,Sept-Îles,66.63,50.2,-66.38,68,75,10.29,1594910888
126,Jamestown,74.39,42.1,-79.24,78,40,9.17,1594911025
127,Ponta do Sol,73.06,32.67,-17.1,57,2,1.66,1594911025
128,Butaritari,82.76,3.07,172.79,65,72,7.83,1594911025
129,Omboué,75.88,-1.57,9.26,78,56,11.05,1594911025
130,Vizinga,78.17,61.07,50.1,56,37,4.38,1594911026
131,Yinchuan,79.11,38.47,106.27,39,94,5.57,1594911026
132,Boueni,78.8,-12.9,45.08,61,20,19.46,1594911026
133,Santa Rosa,85.46,14.31,121.11,76,35,4.0,1594911027
134,Puerto El Triunfo,84.2,13.28,-88.55,62,9,8.05,1594911027
135,Stroud,71.8,51.75,-2.2,64,75,6.93,1594911027
136,Gobabis,68.0,-22.45,18.97,19,0,8.05,1594911027
137,Coquimbo,51.8,-29.95,-71.34,81,0,4.7,1594910996
138,Awjilah,99.27,29.11,21.29,17,0,15.14,1594911027
139,Kirakira,76.6,-10.45,161.92,81,88,7.23,1594911028
140,Guerrero Negro,71.31,27.98,-114.06,70,8,12.35,1594911028
141,Waingapu,72.48,-9.66,120.26,83,28,7.49,1594911028
142,Batagay-Alyta,52.34,67.8,130.41,52,100,4.5,1594911029
143,Tilichiki,49.08,60.47,166.1,100,100,1.66,1594911029
144,Acajutla,77.0,13.59,-89.83,88,91,1.01,1594911029
145,Nome,49.44,64.5,-165.41,93,90,2.33,1594911029
146,Sur,86.9,22.57,59.53,63,36,12.35,1594911029
147,Salinópolis,84.27,-0.61,-47.36,70,0,10.65,1594911030
148,Carnarvon,66.2,-24.87,113.63,100,90,16.4,1594910861
149,Ossora,54.1,59.24,163.07,95,100,2.08,1594911030
150,Port Pirie,41.0,-33.18,138.02,100,0,5.82,1594911030
151,Santa Cruz do Capibaribe,83.64,-7.96,-36.2,48,53,14.2,1594911030
152,Xichang,69.64,27.9,102.26,77,100,3.02,1594911031
153,Qaqortoq,55.4,60.72,-46.03,58,75,5.82,1594911031
154,Beringovskiy,49.86,63.05,179.32,84,39,5.12,1594911031
155,Hofn,51.8,64.25,-15.21,87,90,24.16,1594911031
156,Leh,67.87,34.17,77.58,26,17,6.42,1594911031
157,Tulum,87.3,20.22,-87.47,79,40,9.17,1594911032
158,Nanortalik,49.03,60.14,-45.24,58,32,10.71,1594911032
159,Provideniya,49.82,64.38,-173.3,84,76,1.99,1594911032
160,Lugovoy,80.6,42.95,72.76,33,100,9.17,1594911032
161,Aklavik,51.8,68.22,-135.01,93,90,8.05,1594911032
162,Nehe,78.1,48.48,124.83,52,61,9.78,1594911033
163,Chifeng,77.25,42.27,118.96,53,77,9.93,1594911005
164,Banmankhi,86.41,25.88,87.18,73,94,6.2,1594911033
165,Nebug,81.86,44.17,39.0,55,33,6.6,1594911034
166,Port Hedland,59.0,-20.32,118.57,77,0,4.7,1594911034
167,Ocós,79.75,14.51,-92.19,88,75,2.24,1594911034
168,Chokurdakh,37.6,70.63,147.92,96,100,7.02,1594911034
169,Eenhana,82.4,-17.47,16.33,13,0,10.29,1594911034
170,Khatanga,51.76,71.97,102.5,77,100,14.92,1594911034
171,Bethel,72.14,41.37,-73.41,68,75,8.05,1594911035
172,Virginia Beach,83.43,36.85,-75.98,65,1,16.11,1594910783
173,Palmer,73.65,42.16,-72.33,49,75,3.36,1594911035
174,Ginir,61.38,7.13,40.7,81,72,12.64,1594911035
175,San Patricio,82.4,19.22,-104.7,83,75,5.82,1594911036
176,Menongue,76.35,-14.66,17.69,16,0,12.82,1594911036
177,Seminole,85.41,28.71,-81.21,78,1,4.7,1594911036
178,Kaiyuan,70.25,23.7,103.3,82,100,6.06,1594911036
179,Dikson,40.96,73.51,80.55,91,14,4.68,1594911036
180,Mandera,89.29,3.94,41.87,29,66,17.81,1594911037
181,Denpasar,78.8,-8.65,115.22,100,20,10.29,1594911013
182,Alugan,83.01,12.22,125.48,80,1,7.74,1594911037
183,Kosa,76.96,59.94,55.0,64,100,22.41,1594911037
184,Hamilton,80.73,39.18,-84.53,78,90,16.11,1594910824
185,Kitob,87.55,39.08,66.83,13,46,6.38,1594911038
186,Kloulklubed,77.0,7.04,134.26,88,75,3.36,1594911038
187,Māngrol,83.41,21.12,70.12,81,86,2.24,1594911038
188,Karratha,65.82,-20.74,116.85,69,0,4.29,1594911021
189,Chanute,76.5,37.68,-95.46,73,20,4.7,1594911039
190,Vila Velha,72.93,-20.33,-40.29,73,75,11.41,1594911031
191,Sobolevo,64.4,54.43,31.9,78,87,6.89,1594911039
192,Lüderitz,87.8,-26.65,15.16,12,0,3.36,1594911039
193,Namatanai,79.27,-3.67,152.43,81,7,4.76,1594911039
194,Karatau,82.29,43.17,70.47,28,27,4.56,1594911040
195,Codrington,40.6,-38.27,141.97,90,0,8.23,1594911040
196,Port Angeles,56.59,48.12,-123.43,100,90,11.41,1594911040
197,Khor,68.2,47.89,134.95,94,84,5.53,1594911040
198,Ambilobe,73.54,-13.2,49.05,73,14,3.42,1594911041
199,Clyde River,68.0,70.47,-68.59,42,75,4.7,1594911041
200,Carutapera,85.1,-1.2,-46.02,69,1,7.49,1594910936
201,Sitka,55.4,57.05,-135.33,93,75,8.05,1594911041
202,Naviraí,70.97,-23.07,-54.19,63,81,7.16,1594911042
203,Kandrian,77.88,-6.22,149.55,87,31,7.49,1594911042
204,Portree,57.99,57.41,-6.19,94,100,11.99,1594911042
205,Arlit,104.09,18.74,7.39,13,0,5.44,1594911042
206,Iqaluit,50.0,63.75,-68.51,66,75,8.05,1594910745
207,Geraldton,62.6,-28.77,114.6,88,90,16.11,1594911042
208,Burns Lake,52.48,54.23,-125.75,91,99,2.15,1594911043
209,Nemuro,55.96,43.32,145.57,91,64,6.53,1594911043
210,Ambon City,77.0,-3.7,128.18,15,42,8.46,1594911043
211,Visby,73.65,57.64,18.3,38,0,9.17,1594911043
212,Chapais,60.8,49.78,-74.85,93,90,11.41,1594911043
213,Brookside,75.24,39.67,-75.73,73,90,9.17,1594911044
214,Lebu,53.67,-37.62,-73.65,85,100,16.42,1594911044
215,Fort Nelson,60.8,58.81,-122.7,77,75,2.24,1594910851
216,Taltal,67.37,-25.4,-70.48,36,0,4.41,1594911044
217,Cockburn Town,86.0,21.46,-71.14,66,40,6.93,1594911044
218,Port Elizabeth,62.6,-33.92,25.57,51,0,5.82,1594911045
219,Ribeira Grande,73.4,38.52,-28.7,64,75,9.17,1594911045
220,Ponorogo,74.68,-7.87,111.46,86,5,1.36,1594910923
221,Tiarei,73.2,-17.53,-149.33,83,47,4.7,1594911045
222,Dingle,78.94,11.0,122.67,86,96,1.43,1594911045
223,Poznań,66.11,52.41,16.93,59,20,2.24,1594910962
224,Port Macquarie,57.58,-31.43,152.92,67,40,17.22,1594911046
225,Lata,97.48,40.16,-8.33,23,0,9.55,1594911046
226,Gambēla,76.03,8.25,34.58,86,58,2.89,1594911046
227,Valleyview,57.76,55.07,-117.29,90,100,8.61,1594911046
228,Mount Gambier,42.8,-37.83,140.77,87,7,8.05,1594911047
229,Labuhan,78.98,-6.88,112.21,79,0,9.42,1594911047
230,Atuona,79.74,-9.8,-139.03,76,1,18.25,1594911047
231,Hobyo,81.19,5.35,48.53,68,97,30.67,1594911048
232,Camacha,75.2,33.08,-16.33,60,20,11.41,1594911048
233,Lagos,78.8,6.58,3.75,78,75,6.93,1594911048
234,Verāval,83.08,20.9,70.37,82,52,4.36,1594911048
235,Faanui,76.91,-16.48,-151.75,83,100,11.07,1594911049
236,Lawton,82.69,34.61,-98.39,78,40,6.93,1594910907
237,Srednekolymsk,44.69,67.45,153.68,63,93,3.69,1594911049
238,St. George's,86.0,12.06,-61.75,70,20,18.34,1594911050
239,São Filipe,76.21,14.9,-24.5,80,24,8.68,1594911050
240,Dekar,64.13,-21.53,21.93,29,0,13.78,1594911050
241,Ulaanbaatar,51.8,47.91,106.88,71,75,13.42,1594911050
242,Bokovskaya,77.23,49.23,41.83,41,37,4.99,1594911050
243,Sampit,74.32,-2.53,112.95,97,63,2.66,1594911050
244,Urubichá,89.76,-15.38,-62.95,41,0,2.53,1594911051
245,Tire,89.6,38.09,27.74,43,0,23.04,1594911051
246,Seoul,74.1,37.57,126.98,78,1,3.09,1594910793
247,Yuancheng,71.76,36.65,107.79,62,73,9.53,1594911051
248,Mahajanga,80.6,-15.72,46.32,61,20,10.29,1594911051
249,Cidreira,56.41,-30.18,-50.21,68,94,17.94,1594911052
250,Gijang,69.8,35.24,129.21,73,20,1.12,1594911052
251,Mīzan Teferī,65.98,6.98,35.58,93,80,0.38,1594911052
252,Baiyin,70.29,36.56,104.21,60,99,8.95,1594911052
253,Moussoro,89.87,13.64,16.49,37,73,10.69,1594911052
254,Hambantota,78.8,6.12,81.12,83,90,6.93,1594911052
255,Preston,61.77,53.77,-2.72,93,75,9.17,1594911053
256,Vao,69.69,-22.67,167.48,65,72,16.71,1594911053
257,Along,75.6,28.17,94.77,88,100,0.22,1594911053
258,Guánica,84.02,17.97,-66.91,64,3,5.01,1594911053
259,Harper,79.5,4.38,-7.72,64,100,9.15,1594911053
260,Lompoc,55.99,34.64,-120.46,87,90,2.91,1594911054
261,Belaya Gora,42.93,68.53,146.42,79,100,3.78,1594911054
262,La Ronge,59.0,55.1,-105.28,82,75,18.34,1594911054
263,Necochea,55.99,-38.55,-58.74,57,89,7.0,1594911054
264,Gresham,61.21,45.5,-122.43,77,90,2.42,1594911055
265,Mirabela,77.0,-16.26,-44.16,41,75,11.41,1594911055
266,Pouébo,62.92,-20.4,164.57,70,4,3.87,1594911055
267,Katsuura,69.67,35.13,140.3,88,75,10.29,1594910962
268,Luganville,74.88,-15.53,167.17,82,86,4.76,1594911056
269,Ngaoundéré,71.42,7.32,13.58,91,100,3.71,1594911056
270,Waddān,102.99,29.16,16.14,14,0,8.05,1594911056
271,Hong Kong,84.81,22.29,114.16,70,89,5.99,1594911019
272,Basoko,83.84,1.24,23.62,61,100,0.87,1594911057
273,Haines Junction,52.38,60.75,-137.51,84,100,0.34,1594911057
274,Antofagasta,55.4,-23.65,-70.4,76,20,5.82,1594911057
275,Langsa,75.83,4.47,97.97,92,93,0.83,1594911057
276,Evensk,50.27,61.95,159.23,96,98,1.23,1594911057
277,Aasiaat,40.71,68.71,-52.87,88,99,3.78,1594911058
278,Buala,79.36,-8.14,159.59,82,77,7.52,1594911058
279,Tete,70.7,-16.16,33.59,40,57,10.22,1594911058
280,Petropavlovsk-Kamchatskiy,53.6,53.05,158.65,100,90,2.24,1594911058
281,Kotelnikowo,80.69,47.63,43.15,34,87,4.63,1594911058
282,Synya,60.62,65.37,58.04,67,30,8.52,1594911059
283,Tambacounda,87.8,13.75,-13.76,58,75,2.24,1594911059
284,Sambava,73.78,-14.27,50.17,75,0,17.38,1594911059
285,Sokolo,85.73,14.73,-6.12,60,71,9.04,1594911059
286,Liuli,69.48,-11.08,34.63,68,89,19.33,1594911060
287,Azle,84.58,32.9,-97.55,62,75,14.99,1594910909
288,Belyy Yar,66.2,53.6,91.39,55,30,4.47,1594911060
289,Lagoa,67.87,39.05,-27.98,80,100,12.97,1594911060
290,Asău,68.43,46.43,26.4,88,40,3.36,1594911061
291,Lamu,77.0,-2.27,40.9,72,71,25.52,1594911061
292,Verkhoyansk,49.89,67.54,133.38,54,78,3.0,1594911061
293,Tsuruoka,64.09,38.72,139.82,88,14,5.88,1594911061
294,Kutum,87.75,14.2,24.67,28,87,1.01,1594911062
295,Lavrentiya,45.97,65.58,-171.0,87,100,0.72,1594911062
296,Port Lincoln,53.64,-34.73,135.87,87,0,10.27,1594911062
297,Chicama,66.99,-7.84,-79.15,69,68,5.77,1594911062
298,Cabedelo,75.2,-6.98,-34.83,94,90,13.87,1594911062
299,Bassano,66.0,50.78,-112.47,73,23,8.88,1594911062
300,Roald,63.66,62.58,6.13,72,20,11.41,1594911062
301,Salalah,84.2,17.02,54.09,89,75,10.29,1594911063
302,Amuntai,74.08,-2.42,115.25,92,99,1.52,1594911063
303,Chengzhong,75.2,30.95,113.55,94,75,6.71,1594911063
304,Voloshka,61.36,61.33,40.09,95,77,4.74,1594911063
305,Taoudenni,111.58,22.68,-3.98,13,33,5.75,1594911063
306,Nuuk,50.0,64.18,-51.72,76,20,4.7,1594911064
307,Kulhudhuffushi,83.95,6.62,73.07,79,100,13.49,1594911064
308,Vulcan,70.43,45.38,23.27,48,44,6.71,1594911064
309,Leshukonskoye,56.52,64.9,45.76,64,93,6.02,1594911064
310,Chivay,54.21,-15.64,-71.6,30,0,3.47,1594911064
311,Vetlanda,70.02,57.43,15.08,77,23,4.7,1594911064
312,Ternate,80.13,0.8,127.4,76,41,3.4,1594911064
313,Garmsār,87.51,35.22,52.34,28,0,12.77,1594911065
314,Khorixas,82.11,-20.37,14.97,12,0,21.32,1594911065
315,Tuatapere,39.0,-46.13,167.68,83,61,3.0,1594911065
316,Nyurba,64.27,63.28,118.33,60,53,5.79,1594911065
317,Rockhampton,48.2,-23.38,150.5,57,0,4.81,1594911066
318,Lamesa,81.46,32.74,-101.95,48,75,13.87,1594911066
319,Francisco Sá,77.0,-16.48,-43.49,41,75,11.41,1594911066
320,Vardø,60.8,70.37,31.11,67,75,3.36,1594911066
321,Goderich,70.32,43.75,-81.72,85,100,11.23,1594911066
322,San Ramon,59.02,37.78,-121.98,87,90,4.7,1594911066
323,Blind River,69.8,46.18,-82.96,73,1,4.7,1594911066
324,Mehamn,53.6,71.04,27.85,81,100,6.93,1594911067
325,Ust-Maya,61.52,60.42,134.53,72,70,0.09,1594911067
326,Vung Tau,82.89,10.35,107.08,78,1,8.05,1594910885
327,Havelock,85.39,34.88,-76.9,57,40,11.41,1594910863
328,Gīdam,75.51,18.98,81.4,91,100,5.48,1594911067
329,Richards Bay,61.32,-28.78,32.04,61,0,4.47,1594911068
330,Tiksi,35.15,71.69,128.87,90,12,15.9,1594911068
331,Eyl,90.45,7.98,49.82,41,65,28.77,1594911068
332,Matara,78.78,5.95,80.54,87,100,7.47,1594911068
333,Kedrovyy,66.2,56.17,91.82,55,75,11.18,1594911069
334,Ramnagar,85.51,29.4,79.12,63,8,4.76,1594911069
335,Cartagena del Chairá,79.72,1.33,-74.84,69,50,2.84,1594911069
336,Jimo,74.19,36.39,120.46,88,40,8.95,1594911069
337,Lago da Pedra,86.72,-4.33,-45.17,53,0,7.34,1594911070
338,Whyalla,41.0,-33.03,137.58,100,0,5.82,1594911070
339,Tiffin,80.78,41.11,-83.18,65,75,12.75,1594911070
340,Kibondo,77.22,-3.59,30.72,37,69,8.43,1594911070
341,Hasaki,64.4,35.73,140.83,93,75,5.82,1594911070
342,Ampanihy,63.45,-24.7,44.75,61,21,13.15,1594911071
343,Broome,70.57,42.25,-75.83,38,99,3.0,1594911071
344,Rustenburg,61.18,-25.67,27.24,25,0,3.31,1594911071
345,Burnie,38.46,-41.07,145.92,88,0,3.0,1594911071
346,Zheleznodorozhnyy,61.83,55.75,38.0,87,40,6.71,1594910937
347,Porto-Novo,77.0,6.5,2.6,88,40,11.41,1594911072
348,Yangi Marg`ilon,87.8,40.43,71.72,25,20,9.17,1594911072
349,Cabo San Lucas,85.66,22.89,-109.91,55,0,4.0,1594910823
350,Shenjiamen,73.4,29.96,122.3,92,100,8.25,1594911073
351,Smolenskaya,85.71,44.79,38.8,38,55,6.87,1594911073
352,Behshahr,87.8,36.69,53.55,58,20,6.93,1594911073
353,Nabire,76.05,-3.37,135.48,89,27,3.74,1594910946
354,Qūchān,74.25,37.11,58.51,42,70,9.1,1594911073
355,Bundaberg,55.51,-24.85,152.35,33,0,10.29,1594911074
356,Anadyr,48.09,64.75,177.48,100,90,4.47,1594911074
357,Sittwe,83.39,20.15,92.9,81,91,5.03,1594911074
358,Margosatubig,79.18,7.58,123.17,78,100,0.34,1594911074
359,Jacareacanga,82.4,-6.22,-57.75,74,55,2.24,1594911075
360,Vostok,59.92,46.49,135.88,93,0,4.34,1594911075
361,Esperance,57.2,-33.87,121.9,100,75,11.41,1594911075
362,Pervomayskiy,59.05,53.25,40.29,81,99,10.76,1594911076
363,Pekan,80.29,3.48,103.4,88,20,2.24,1594911076
364,Bilibino,45.73,68.05,166.44,90,100,2.75,1594911076
365,Samos,84.2,37.76,26.98,39,0,13.87,1594911076
366,Masvingo,54.9,-20.06,30.83,52,1,11.05,1594911059
367,Coyhaique,32.0,-45.58,-72.07,90,90,2.24,1594911077
368,Kahului,70.95,20.89,-156.47,69,1,8.05,1594911077
369,Revúca,60.78,48.68,20.12,82,75,9.17,1594911077
370,Fairbanks,54.59,64.84,-147.72,93,90,4.7,1594910954
371,Turukhansk,49.91,65.82,87.98,83,78,17.25,1594911078
372,Rome,74.12,43.21,-75.46,69,90,11.41,1594911078
373,Brae,55.4,60.4,-1.35,93,75,13.87,1594911079
374,Haileybury,66.2,47.45,-79.64,88,75,3.36,1594911079
375,Lázaro Cárdenas,79.63,17.96,-102.2,89,98,4.29,1594911079
376,Nishihara,80.94,26.18,127.76,83,75,8.05,1594911079
377,Waipawa,46.63,-41.41,175.52,78,100,1.01,1594911080
378,Cam Ranh,86.0,11.92,109.16,79,20,6.93,1594911080
379,Smolenskaya Oblast’,56.12,55.0,33.0,88,69,5.12,1594911080
380,Del Rio,81.63,29.36,-100.9,69,90,11.41,1594911080
381,Cayenne,87.8,4.93,-52.33,62,90,6.93,1594911081
382,Santiago del Estero,59.72,-27.8,-64.26,37,0,3.47,1594911081
383,Igarka,52.09,67.47,86.58,66,13,15.05,1594911081
384,Berlevåg,53.6,70.86,29.09,81,100,6.93,1594911081
385,Hokitika,40.57,-42.72,170.97,67,85,7.29,1594911004
386,Anori,94.19,-3.77,-61.64,42,0,1.12,1594911082
387,Olinda,84.2,-8.01,-34.86,66,40,13.87,1594910904
388,Kamenka,78.49,51.32,42.77,36,93,4.0,1594911082
389,Walvis Bay,87.8,-22.96,14.51,6,0,10.29,1594911082
390,Dhidhdhoo,84.13,6.88,73.1,79,100,14.54,1594911083
391,Rurrenabaque,87.12,-14.44,-67.53,53,18,1.86,1594911083
392,Kathmandu,75.2,27.72,85.32,83,75,8.05,1594910827
393,Deputatsky,33.04,69.3,139.9,95,48,2.33,1594911083
394,Emba,95.25,48.83,58.14,15,0,10.87,1594911083
395,Leningradskiy,41.56,69.38,178.42,90,100,10.16,1594911084
396,Panji,74.26,-7.73,114.1,86,0,3.58,1594911084
397,Port-Gentil,82.4,-0.72,8.78,69,75,14.52,1594911084
398,Sehithwa,67.8,-20.47,22.72,30,0,12.82,1594911084
399,Alofi,73.4,-19.06,-169.92,83,79,8.05,1594911085
400,Tonekābon,86.0,36.82,50.87,58,40,6.93,1594910824
401,Cheremkhovo,48.74,53.16,103.07,74,16,4.81,1594911085
402,Cadillac,68.11,44.25,-85.4,88,90,3.36,1594911085
403,Cafelândia,69.8,-21.8,-49.61,73,53,13.87,1594911086
404,Lorengau,82.29,-2.02,147.27,70,65,3.89,1594911086
405,Xaltianguis,82.4,17.07,-99.83,69,20,5.82,1594911086
406,Vanavara,56.07,60.34,102.28,60,86,7.96,1594911087
407,Port Blair,80.92,11.67,92.75,80,100,4.16,1594911087
